,state,action,reward,value
172,"(2, 6)",lower-right,0.33385053542218923,0.18935894339452253
173,"(2, 7)",up,-0.8665846795355905,8.178727870390084
174,"(2, 7)",down,0.7771241507177988,3.0356904728760266
175,"(2, 7)",left,0.4432736152956096,0.38391894884494904
176,"(2, 7)",right,-0.6370894116552956,-0.03313372440808347
177,"(2, 7)",upper-left,-0.5175543501536715,1.3093195440424665
178,"(2, 7)",upper-right,-1.3944487245360109,5.027884266643475
179,"(2, 7)",lower-left,1.3694832979641993,46.71534360266347
180,"(2, 7)",lower-right,-0.0,1.7108284305544863
181,"(2, 8)",up,-0.7573593128807152,0.29397621677009833
182,"(2, 8)",down,0.6370894116552956,0.16936846581713438
183,"(2, 8)",left,0.6370894116552956,0.25367675135366624
184,"(2, 8)",right,-0.7573593128807152,-0.0682367087377363
185,"(2, 8)",upper-left,-0.22949526788029484,0.02992514157792076
186,"(2, 8)",upper-right,-1.4142135623730958,-0.2676838957427564
187,"(2, 8)",lower-left,1.4142135623730945,12.829024591447375
188,"(2, 8)",lower-right,-0.22949526788029484,0.004717376705372202
189,"(2, 9)",up,-0.6568542494923806,0.0
190,"(2, 9)",down,0.5278640450004204,5.552372077132137
191,"(2, 9)",left,0.7573593128807152,0.28433891737168415
192,"(2, 9)",upper-left,-0.0,0.009929122686457908
193,"(2, 9)",lower-left,1.3944487245360109,0.14989135469056392
194,"(3, 0)",up,-0.445787087710797,0.0
195,"(3, 0)",down,0.28614529354171925,0.9916953074119352
196,"(3, 0)",right,0.9130288521349241,0.26156374177290015
197,"(3, 0)",upper-right,0.38516480713450374,0.09862087975804466
198,"(3, 0)",lower-right,1.2620591815168432,10.297472195584621
199,"(3, 1)",up,-0.5278640450004204,-0.08292656551983574
200,"(3, 1)",down,0.349030329381919,0.8700391554163573
201,"(3, 1)",left,-0.9130288521349241,-0.08662172669594395
202,"(3, 1)",right,0.8665846795355905,9.731144597323587
203,"(3, 1)",upper-left,-1.3588159398457211,0.0
204,"(3, 1)",upper-right,0.22949526788029484,0.047284429470186504
205,"(3, 1)",lower-left,-0.6268835585932049,-0.0608236080105628
206,"(3, 1)",lower-right,1.3098582948312,0.16571318774993735
207,"(3, 2)",up,-0.6370894116552956,0.22238800986000168
208,"(3, 2)",down,0.4432736152956096,0.8903067616885822
209,"(3, 2)",left,-0.8665846795355905,2.81182770792093
210,"(3, 2)",right,0.7771241507177988,3.496720131856792
211,"(3, 2)",upper-left,-1.3944487245360109,3.4757261698029014
212,"(3, 2)",upper-right,-0.0,6.950116620445465
213,"(3, 2)",lower-left,-0.5175543501536715,0.6445488945930073
214,"(3, 2)",lower-right,1.3694832979641993,66.18977254556214
215,"(3, 3)",up,-0.7771241507177988,6.695500046562466
216,"(3, 3)",down,0.5923591472464005,7.1844801198876365
217,"(3, 3)",left,-0.7771241507177988,3.431469208708607
218,"(3, 3)",right,0.5923591472464005,10.775985526281415
219,"(3, 3)",upper-left,-1.4142135623730945,-0.37612655298497893
220,"(3, 3)",upper-right,-0.33385053542218923,-0.027844630518583033
221,"(3, 3)",lower-left,-0.33385053542218923,-0.0008272680840311977
222,"(3, 3)",lower-right,1.4142135623730951,72.88382237817152
223,"(3, 4)",up,-0.9262096826685897,-0.011393246452149697
224,"(3, 4)",down,0.8218544151266947,10.097688648564377
225,"(3, 4)",left,-0.5923591472464005,-0.1125482379768161
226,"(3, 4)",right,0.2360679774997898,0.02360679774997898
227,"(3, 4)",upper-left,-1.3694832979641993,0.0
228,"(3, 4)",upper-right,-0.7639320225002102,-0.16439089932311746
229,"(3, 4)",lower-left,-0.0,0.217746098991765
230,"(3, 4)",lower-right,1.2360679774997898,0.9826013383587853
231,"(3, 5)",up,-1.0,-0.38707898149989994
232,"(3, 5)",down,1.0,40.91914021077683
233,"(3, 5)",left,-0.2360679774997898,2.9747845263451196
234,"(3, 5)",right,-0.2360679774997898,-0.010388000887724094
235,"(3, 5)",upper-left,-1.1622776601683795,2.1090040132762073
236,"(3, 5)",upper-right,-1.1622776601683795,2.2176894253320327
237,"(3, 5)",lower-left,0.5857864376269049,0.4387157343936673
238,"(3, 5)",lower-right,0.5857864376269049,3.9074028143238633
239,"(3, 6)",up,-0.9262096826685897,11.334404433685236
240,"(3, 6)",down,0.8218544151266947,63.68444450611742
241,"(3, 6)",left,0.2360679774997898,4.712973963331044
242,"(3, 6)",right,-0.5923591472464005,4.814789920408199
243,"(3, 6)",upper-left,-0.7639320225002102,10.433253062329687
244,"(3, 6)",upper-right,-1.3694832979641993,-0.14669174058632112
245,"(3, 6)",lower-left,1.2360679774997898,0.2494247246064787
246,"(3, 6)",lower-right,-0.0,9.804972352755733
247,"(3, 7)",up,-0.7771241507177988,-0.1235202222659902
248,"(3, 7)",down,0.5923591472464005,11.382434402955894
